rule,param,value,revenue,revenue_ci,efficiency,efficiency_ci,extension,extension_ci,late_share,late_share_ci,late_win,late_win_ci,sniper_win,sniper_win_ci,sniper_misalloc,sniper_misalloc_ci,cap_hit,cap_hit_ci,sold,sold_ci,d_revenue_vs_ref,d_revenue_vs_ref_ci,d_efficiency_vs_ref,d_efficiency_vs_ref_ci,d_revenue_vs_hard,d_revenue_vs_hard_ci,d_efficiency_vs_hard,d_efficiency_vs_hard_ci,ext_p95,payoff_proxy,payoff_incr,payoff_sniper
soft close 5 min,dist,uniform,0.67814,0.0048,0.98324,0.00191,2.23965,0.10139,0.06118,0.00325,0.2248,0.01157,0.2242,0.01156,0.0482,0.00594,0.0,0.0,1.0,0.0,0.01331,0.00157,0.00821,0.00145,0.01207,0.00153,0.00743,0.00141,9.691,0.02489,0.02601,0.03224
"ArtSphere: hard close, ladder cap 50",dist,lognormal,0.67222,0.00532,0.96498,0.00302,0.0,0.0,0.05338,0.00295,0.239,0.01182,0.2384,0.01181,0.0784,0.00745,0.0724,0.00718,1.0,0.0,0.0,0.0,0.0,0.0,-0.00179,0.00057,-0.00164,0.00066,0.0,0.05048,0.04024,0.05975
"hard close, no cap",dist,lognormal,0.67401,0.00541,0.96661,0.00296,0.0,0.0,0.05303,0.00294,0.2406,0.01185,0.24,0.01184,0.0778,0.00743,0.0,0.0,1.0,0.0,0.00179,0.00057,0.00164,0.00066,0.0,0.0,0.0,0.0,0.0,0.0507,0.04024,0.06
soft close 5 min,dist,lognormal,0.68635,0.00542,0.97528,0.00255,2.12566,0.09864,0.05876,0.00321,0.2128,0.01135,0.2124,0.01134,0.0466,0.00584,0.0,0.0,1.0,0.0,0.01413,0.00182,0.01031,0.00173,0.01234,0.00174,0.00867,0.0016,9.634,0.05036,0.04348,0.05186
"ArtSphere: hard close, ladder cap 50",dist,beta_low,0.34012,0.00373,0.96647,0.00321,0.0,0.0,0.0597,0.00315,0.2414,0.01186,0.241,0.01186,0.0654,0.00685,0.0048,0.00192,1.0,0.0,0.0,0.0,0.0,0.0,-7e-05,5e-05,-0.00011,0.00012,0.0,0.02706,0.02341,0.03685
"hard close, no cap",dist,beta_low,0.34019,0.00373,0.96658,0.0032,0.0,0.0,0.0597,0.00315,0.2414,0.01186,0.241,0.01186,0.0654,0.00685,0.0,0.0,1.0,0.0,7e-05,5e-05,0.00011,0.00012,0.0,0.0,0.0,0.0,0.0,0.02707,0.02341,0.03685
soft close 5 min,dist,beta_low,0.34646,0.00372,0.97462,0.00277,1.99215,0.09312,0.06484,0.00338,0.22,0.01148,0.2194,0.01147,0.0404,0.00546,0.0,0.0,1.0,0.0,0.00634,0.00098,0.00815,0.00169,0.00627,0.00098,0.00804,0.00168,9.58,0.027,0.02499,0.03247
"ArtSphere: hard close, ladder cap 50",late_frac,0.0,0.66483,0.00492,0.97503,0.00234,0.0,0.0,0.05539,0.00299,0.2524,0.01204,0.2516,0.01203,0.0848,0.00772,0.0924,0.00803,1.0,0.0,0.0,0.0,0.0,0.0,-0.00124,0.00039,-0.00078,0.00034,0.0,0.02522,0.02397,0.04073
"hard close, no cap",late_frac,0.0,0.66607,0.00494,0.97581,0.00232,0.0,0.0,0.05502,0.00298,0.2536,0.01206,0.2528,0.01205,0.0832,0.00766,0.0,0.0,1.0,0.0,0.00124,0.00039,0.00078,0.00034,0.0,0.0,0.0,0.0,0.0,0.02499,0.02397,0.04076
soft close 5 min,late_frac,0.0,0.67814,0.0048,0.98324,0.00191,2.23965,0.10139,0.06118,0.00325,0.2248,0.01157,0.2242,0.01156,0.0482,0.00594,0.0,0.0,1.0,0.0,0.01331,0.00157,0.00821,0.00145,0.01207,0.00153,0.00743,0.00141,9.691,0.02489,0.02601,0.03224
"ArtSphere: hard close, ladder cap 50",late_frac,0.3,0.64038,0.00536,0.96034,0.00306,0.0,0.0,0.06418,0.00317,0.275,0.01238,0.2684,0.01228,0.1014,0.00837,0.0982,0.00825,1.0,0.0,0.0,0.0,0.0,0.0,-0.00128,0.00039,-0.00064,0.00027,0.0,0.02654,0.02435,0.04707
"hard close, no cap",late_frac,0.3,0.64166,0.00538,0.96098,0.00305,0.0,0.0,0.06386,0.00316,0.2768,0.0124,0.2702,0.01231,0.1008,0.00835,0.0,0.0,1.0,0.0,0.00128,0.00039,0.00064,0.00027,0.0,0.0,0.0,0.0,0.0,0.02625,0.02436,0.04704
soft close 5 min,late_frac,0.3,0.66064,0.00509,0.97167,0.00257,2.7219,0.11397,0.07398,0.00355,0.2354,0.01176,0.2292,0.01165,0.0538,0.00625,0.0,0.0,1.0,0.0,0.02026,0.00213,0.01133,0.0019,0.01898,0.0021,0.01068,0.00189,9.97,0.02584,0.02731,0.03396
"ArtSphere: hard close, ladder cap 50",late_frac,0.6,0.61998,0.00578,0.94634,0.00372,0.0,0.0,0.0764,0.00336,0.2916,0.0126,0.28,0.01245,0.1144,0.00882,0.1044,0.00848,1.0,0.0,0.0,0.0,0.0,0.0,-0.00159,0.00043,-0.00073,0.00033,0.0,0.02767,0.02364,0.05309
"hard close, no cap",late_frac,0.6,0.62157,0.0058,0.94707,0.00371,0.0,0.0,0.07568,0.00333,0.2944,0.01263,0.2828,0.01248,0.1136,0.0088,0.0,0.0,1.0,0.0,0.00159,0.00043,0.00073,0.00033,0.0,0.0,0.0,0.0,0.0,0.02735,0.02362,0.053
soft close 5 min,late_frac,0.6,0.64882,0.00533,0.96218,0.00306,3.36127,0.13016,0.09425,0.00394,0.2422,0.01188,0.232,0.0117,0.057,0.00643,0.0,0.0,1.0,0.0,0.02883,0.00265,0.01584,0.00245,0.02724,0.00263,0.01511,0.00244,12.692,0.02647,0.02781,0.03486
