rule,param,value,revenue,revenue_ci,efficiency,efficiency_ci,extension,extension_ci,late_share,late_share_ci,late_win,late_win_ci,sniper_win,sniper_win_ci,sniper_misalloc,sniper_misalloc_ci,cap_hit,cap_hit_ci,sold,sold_ci,d_revenue_vs_ref,d_revenue_vs_ref_ci,d_efficiency_vs_ref,d_efficiency_vs_ref_ci,d_revenue_vs_hard,d_revenue_vs_hard_ci,d_efficiency_vs_hard,d_efficiency_vs_hard_ci,ext_p95,payoff_proxy,payoff_incr,payoff_sniper
"ArtSphere: hard close, ladder cap 50",sniper_share,0.1,0.68169,0.00472,0.98376,0.00186,0.0,0.0,0.02554,0.00193,0.134,0.00944,0.133,0.00941,0.0482,0.00594,0.0922,0.00802,1.0,0.0,0.0,0.0,0.0,0.0,-0.00079,0.00032,-0.00039,0.00022,0.0,0.02413,0.02496,0.04172
"hard close, no cap",sniper_share,0.1,0.68249,0.00473,0.98414,0.00185,0.0,0.0,0.0254,0.00192,0.1344,0.00946,0.1334,0.00943,0.0476,0.0059,0.0,0.0,1.0,0.0,0.00079,0.00032,0.00039,0.00022,0.0,0.0,0.0,0.0,0.0,0.02397,0.02496,0.04167
soft close 5 min,sniper_share,0.1,0.68963,0.00463,0.9885,0.00158,1.1386,0.07275,0.029,0.00216,0.1134,0.00879,0.1128,0.00877,0.025,0.00433,0.0,0.0,1.0,0.0,0.00794,0.00125,0.00475,0.00105,0.00715,0.00121,0.00436,0.00103,6.032,0.02395,0.02614,0.031
"ArtSphere: hard close, ladder cap 50",sniper_share,0.2,0.66483,0.00492,0.97503,0.00234,0.0,0.0,0.05539,0.00299,0.2524,0.01204,0.2516,0.01203,0.0848,0.00772,0.0924,0.00803,1.0,0.0,0.0,0.0,0.0,0.0,-0.00124,0.00039,-0.00078,0.00034,0.0,0.02522,0.02397,0.04073
"hard close, no cap",sniper_share,0.2,0.66607,0.00494,0.97581,0.00232,0.0,0.0,0.05502,0.00298,0.2536,0.01206,0.2528,0.01205,0.0832,0.00766,0.0,0.0,1.0,0.0,0.00124,0.00039,0.00078,0.00034,0.0,0.0,0.0,0.0,0.0,0.02499,0.02397,0.04076
soft close 5 min,sniper_share,0.2,0.67814,0.0048,0.98324,0.00191,2.23965,0.10139,0.06118,0.00325,0.2248,0.01157,0.2242,0.01156,0.0482,0.00594,0.0,0.0,1.0,0.0,0.01331,0.00157,0.00821,0.00145,0.01207,0.00153,0.00743,0.00141,9.691,0.02489,0.02601,0.03224
"ArtSphere: hard close, ladder cap 50",sniper_share,0.4,0.63604,0.00524,0.95705,0.00313,0.0,0.0,0.16273,0.00583,0.4874,0.01386,0.4868,0.01386,0.1592,0.01014,0.1244,0.00915,1.0,0.0,0.0,0.0,0.0,0.0,-0.00343,0.00065,-0.00195,0.00054,0.0,0.0276,0.01905,0.04011
"hard close, no cap",sniper_share,0.4,0.63948,0.00529,0.959,0.0031,0.0,0.0,0.16047,0.00578,0.4942,0.01386,0.4936,0.01386,0.1536,0.01,0.0,0.0,1.0,0.0,0.00343,0.00065,0.00195,0.00054,0.0,0.0,0.0,0.0,0.0,0.02691,0.01905,0.03994
soft close 5 min,sniper_share,0.4,0.66602,0.00504,0.97527,0.00237,5.07114,0.14888,0.17356,0.00607,0.4432,0.01377,0.4426,0.01377,0.0828,0.00764,0.0,0.0,1.0,0.0,0.02998,0.00245,0.01822,0.00218,0.02655,0.00238,0.01626,0.00212,14.654,0.02651,0.02392,0.03149
"ArtSphere: hard close, ladder cap 50",sniper_share,0.6,0.61877,0.00544,0.94716,0.00345,0.0,0.0,0.35538,0.00837,0.6776,0.01296,0.6774,0.01296,0.2078,0.01125,0.185,0.01076,1.0,0.0,0.0,0.0,0.0,0.0,-0.00836,0.00108,-0.00423,0.00079,0.0,0.03116,0.01481,0.03717
"hard close, no cap",sniper_share,0.6,0.62713,0.00553,0.9514,0.0034,0.0,0.0,0.35064,0.00835,0.6872,0.01285,0.687,0.01285,0.1922,0.01092,0.0,0.0,1.0,0.0,0.00836,0.00108,0.00423,0.00079,0.0,0.0,0.0,0.0,0.0,0.02867,0.01481,0.03675
soft close 5 min,sniper_share,0.6,0.66212,0.00514,0.97192,0.00259,8.75189,0.17938,0.36972,0.00851,0.6382,0.01332,0.6378,0.01332,0.101,0.00835,0.0,0.0,1.0,0.0,0.04336,0.00287,0.02476,0.00238,0.035,0.00271,0.02052,0.00226,19.377,0.02746,0.02174,0.03008
"ArtSphere: hard close, ladder cap 50",react,1.0,0.67734,0.00482,0.98178,0.00201,0.0,0.0,0.05453,0.00303,0.2368,0.01178,0.2362,0.01177,0.0696,0.00705,0.0912,0.00798,1.0,0.0,0.0,0.0,0.0,0.0,-0.00115,0.00038,-0.00071,0.00032,0.0,0.02508,0.02358,0.03634
"hard close, no cap",react,1.0,0.67849,0.00483,0.9825,0.00199,0.0,0.0,0.05417,0.00302,0.2378,0.0118,0.2372,0.01179,0.068,0.00698,0.0,0.0,1.0,0.0,0.00115,0.00038,0.00071,0.00032,0.0,0.0,0.0,0.0,0.0,0.02486,0.02358,0.03636
soft close 5 min,react,1.0,0.69838,0.00458,0.99395,0.00119,2.09884,0.10352,0.06576,0.00356,0.1832,0.01072,0.1826,0.01071,0.0076,0.00241,0.0,0.0,1.0,0.0,0.02103,0.00196,0.01217,0.00164,0.01989,0.00193,0.01145,0.00161,9.679,0.02477,0.02694,0.02163
"ArtSphere: hard close, ladder cap 50",react,5.0,0.67127,0.00487,0.97804,0.0022,0.0,0.0,0.05467,0.00299,0.2472,0.01196,0.2464,0.01195,0.0796,0.0075,0.0918,0.008,1.0,0.0,0.0,0.0,0.0,0.0,-0.00122,0.00039,-0.00073,0.00033,0.0,0.02514,0.02345,0.03882
"hard close, no cap",react,5.0,0.67249,0.00488,0.97878,0.00218,0.0,0.0,0.0543,0.00298,0.2484,0.01198,0.2476,0.01197,0.0782,0.00744,0.0,0.0,1.0,0.0,0.00122,0.00039,0.00073,0.00033,0.0,0.0,0.0,0.0,0.0,0.02491,0.02345,0.03881
soft close 5 min,react,5.0,0.68802,0.0047,0.98878,0.00156,2.20355,0.1008,0.06252,0.00335,0.2046,0.01118,0.204,0.01117,0.0292,0.00467,0.0,0.0,1.0,0.0,0.01675,0.00174,0.01073,0.00159,0.01553,0.0017,0.01,0.00156,9.691,0.02483,0.02646,0.02732
"ArtSphere: hard close, ladder cap 50",react,10.0,0.66483,0.00492,0.97503,0.00234,0.0,0.0,0.05539,0.00299,0.2524,0.01204,0.2516,0.01203,0.0848,0.00772,0.0924,0.00803,1.0,0.0,0.0,0.0,0.0,0.0,-0.00124,0.00039,-0.00078,0.00034,0.0,0.02522,0.02397,0.04073
"hard close, no cap",react,10.0,0.66607,0.00494,0.97581,0.00232,0.0,0.0,0.05502,0.00298,0.2536,0.01206,0.2528,0.01205,0.0832,0.00766,0.0,0.0,1.0,0.0,0.00124,0.00039,0.00078,0.00034,0.0,0.0,0.0,0.0,0.0,0.02499,0.02397,0.04076
soft close 5 min,react,10.0,0.67814,0.0048,0.98324,0.00191,2.23965,0.10139,0.06118,0.00325,0.2248,0.01157,0.2242,0.01156,0.0482,0.00594,0.0,0.0,1.0,0.0,0.01331,0.00157,0.00821,0.00145,0.01207,0.00153,0.00743,0.00141,9.691,0.02489,0.02601,0.03224
"ArtSphere: hard close, ladder cap 50",react,30.0,0.64282,0.00521,0.96331,0.00291,0.0,0.0,0.05924,0.00303,0.268,0.01228,0.2672,0.01227,0.1008,0.00835,0.0978,0.00823,1.0,0.0,0.0,0.0,0.0,0.0,-0.00137,0.00041,-0.00087,0.00036,0.0,0.02555,0.02528,0.04718
"hard close, no cap",react,30.0,0.64419,0.00523,0.96417,0.0029,0.0,0.0,0.05884,0.00302,0.2692,0.0123,0.2684,0.01228,0.099,0.00828,0.0,0.0,1.0,0.0,0.00137,0.00041,0.00087,0.00036,0.0,0.0,0.0,0.0,0.0,0.02532,0.02528,0.04718
soft close 5 min,react,30.0,0.65267,0.00511,0.96921,0.00266,2.27684,0.09957,0.06301,0.00322,0.2556,0.01209,0.2548,0.01208,0.0784,0.00745,0.0,0.0,1.0,0.0,0.00985,0.00143,0.0059,0.00127,0.00848,0.00137,0.00504,0.00122,9.684,0.02524,0.0264,0.04172
"ArtSphere: hard close, ladder cap 50",react,60.0,0.62621,0.00557,0.95099,0.00348,0.0,0.0,0.06364,0.00308,0.2806,0.01245,0.2798,0.01244,0.1138,0.0088,0.103,0.00843,1.0,0.0,0.0,0.0,0.0,0.0,-0.00166,0.00046,-0.00102,0.00038,0.0,0.02613,0.02467,0.05223
"hard close, no cap",react,60.0,0.62786,0.0056,0.952,0.00347,0.0,0.0,0.06322,0.00307,0.2824,0.01248,0.2816,0.01247,0.1116,0.00873,0.0,0.0,1.0,0.0,0.00166,0.00046,0.00102,0.00038,0.0,0.0,0.0,0.0,0.0,0.02583,0.02467,0.05225
soft close 5 min,react,60.0,0.63676,0.00544,0.95741,0.00323,2.34179,0.10037,0.06709,0.00324,0.2732,0.01235,0.2724,0.01234,0.0954,0.00814,0.0,0.0,1.0,0.0,0.01055,0.00159,0.00642,0.00139,0.00889,0.00153,0.00541,0.00134,9.691,0.02572,0.02584,0.04668
"ArtSphere: hard close, ladder cap 50",n,2,0.24095,0.00599,0.93249,0.00529,0.0,0.0,0.16484,0.00763,0.2084,0.01126,0.2082,0.01126,0.07,0.00707,0.0736,0.00724,0.9974,0.00141,0.0,0.0,0.0,0.0,-0.01296,0.00154,-0.00699,0.00118,0.0,0.19317,0.15796,0.23521
"hard close, no cap",n,2,0.25391,0.0066,0.93948,0.00522,0.0,0.0,0.16484,0.00763,0.2224,0.01153,0.2222,0.01152,0.0676,0.00696,0.0,0.0,0.9974,0.00141,0.01296,0.00154,0.00699,0.00118,0.0,0.0,0.0,0.0,0.0,0.18256,0.15796,0.23944
soft close 5 min,n,2,0.27029,0.00662,0.95175,0.00468,1.72329,0.07615,0.17274,0.00793,0.201,0.01111,0.2008,0.01111,0.0436,0.00566,0.0,0.0,0.9974,0.00141,0.02934,0.00286,0.01926,0.00291,0.01638,0.00248,0.01227,0.00268,7.495,0.18256,0.16649,0.20036
"ArtSphere: hard close, ladder cap 50",n,3,0.42215,0.0065,0.94443,0.00436,0.0,0.0,0.11203,0.00566,0.2144,0.01138,0.2138,0.01137,0.0818,0.0076,0.1044,0.00848,0.9998,0.00039,0.0,0.0,0.0,0.0,-0.01034,0.00134,-0.00567,0.00102,0.0,0.09296,0.07965,0.12529
"hard close, no cap",n,3,0.43248,0.00678,0.9501,0.00429,0.0,0.0,0.11057,0.00563,0.2254,0.01158,0.2248,0.01157,0.0768,0.00738,0.0,0.0,0.9998,0.00039,0.01034,0.00134,0.00567,0.00102,0.0,0.0,0.0,0.0,0.0,0.08802,0.07966,0.12638
soft close 5 min,n,3,0.45121,0.00662,0.96356,0.0037,1.99512,0.09156,0.11971,0.00603,0.195,0.01098,0.1944,0.01097,0.0416,0.00554,0.0,0.0,0.9998,0.00039,0.02907,0.00269,0.01913,0.00248,0.01873,0.00239,0.01346,0.00229,9.612,0.08728,0.08632,0.09854
"ArtSphere: hard close, ladder cap 50",n,4,0.533,0.00607,0.96042,0.00336,0.0,0.0,0.08615,0.00442,0.2322,0.0117,0.2314,0.01169,0.0854,0.00775,0.104,0.00846,1.0,0.0,0.0,0.0,0.0,0.0,-0.00486,0.00088,-0.00279,0.00067,0.0,0.05669,0.04703,0.08102
"hard close, no cap",n,4,0.53786,0.00617,0.96322,0.00331,0.0,0.0,0.08454,0.00438,0.2406,0.01185,0.2398,0.01184,0.082,0.00761,0.0,0.0,1.0,0.0,0.00486,0.00088,0.00279,0.00067,0.0,0.0,0.0,0.0,0.0,0.05484,0.04702,0.08178
soft close 5 min,n,4,0.55521,0.00599,0.9744,0.00274,2.15578,0.09681,0.09289,0.00472,0.2072,0.01124,0.2062,0.01122,0.0436,0.00566,0.0,0.0,1.0,0.0,0.02221,0.00231,0.01397,0.00201,0.01735,0.00215,0.01118,0.00191,9.636,0.05449,0.05147,0.06303
"ArtSphere: hard close, ladder cap 50",n,6,0.66483,0.00492,0.97503,0.00234,0.0,0.0,0.05539,0.00299,0.2524,0.01204,0.2516,0.01203,0.0848,0.00772,0.0924,0.00803,1.0,0.0,0.0,0.0,0.0,0.0,-0.00124,0.00039,-0.00078,0.00034,0.0,0.02522,0.02397,0.04073
