model,pairs,same_timing,same_max_bid,same_plan,late_share_cpu,late_share_gpu
qwen4b,180,0.9389,0.9,0.85,0.2722,0.2556
qwen9b,180,0.7389,0.9444,0.6833,0.3389,0.2889
